G1_DLBCL_res	G1_SKCM_GSE72056.res	G1_SKCM_GSE115978_aPD1.res	G1_SKCM_GSE123139.res	G1_SKCM_GSE120575_aPD1aCTLA4.res	G1_SKCM_GSE148190.res	G1_Glioma_GSE135437	G1_Glioma_GSE70630	G1_Glioma_GSE89567	G1_Glioma_GSE84465	G1_Glioma_GSE148842	G1_HNSC_GSE103322	G1_HNSC_GSE139324	G1_BRCA_GSE136206_mouse_aPD1aCTLA4	G1_BRCA_GSE138536_non_malignant	G1_BRCA_GSE114727_non_malignant	G1_MB_GSE119926	G1_PAAD_CRA001160.res	G1_CRC_GSE146771	G1_CRC_GSE146771_10X_non	G1_CRC_GSE108989_non_malignant	G1_CRC_GSE136394_non_malignant	G1_NSCLC_GSE127465.res	G1_NSCLC_EMTAB6149.res	G1_NSCLC_GSE131907.res	G1_NSCLC_GSE99254.res	G1_NSCLC_GSE139555.res	G1_CHOL_GSE125449_aPD1aPDL1aCTLA4	G1_CLL_GSE111014_non_malignant	G1_LIHC_GSE125449_aPDL1aCTLA4	G1_LIHC_GSE140228_immune_Smart	G1_LIHC_GSE140228_immune10X	G1_LIHC_GSE98638_immune	G1_ALL_GSE132509	G1_AML_GSE116256	G1_KIRC_GSE111360	G1_KIRC_GSE139555	G1_NHL_GSE128531.res	G1_BCC_GSE123813_aPD1	G1_OSCC_GSE117872	S_DLBCL_res	S_SKCM_GSE72056.res	S_SKCM_GSE115978_aPD1.res	S_SKCM_GSE123139.res	S_SKCM_GSE120575_aPD1aCTLA4.res	S_SKCM_GSE148190.res	S_Glioma_GSE135437	S_Glioma_GSE70630	S_Glioma_GSE89567	S_Glioma_GSE84465	S_Glioma_GSE148842	S_HNSC_GSE103322	S_HNSC_GSE139324	S_BRCA_GSE136206_mouse_aPD1aCTLA4	S_BRCA_GSE138536_non_malignant	S_BRCA_GSE114727_non_malignant	S_MB_GSE119926	S_PAAD_CRA001160.res	S_CRC_GSE146771	S_CRC_GSE146771_10X_non	S_CRC_GSE108989_non_malignant	S_CRC_GSE136394_non_malignant	S_NSCLC_GSE127465.res	S_NSCLC_EMTAB6149.res	S_NSCLC_GSE131907.res	S_NSCLC_GSE99254.res	S_NSCLC_GSE139555.res	S_CHOL_GSE125449_aPD1aPDL1aCTLA4	S_CLL_GSE111014_non_malignant	S_LIHC_GSE125449_aPDL1aCTLA4	S_LIHC_GSE140228_immune_Smart	S_LIHC_GSE140228_immune10X	S_LIHC_GSE98638_immune	S_ALL_GSE132509	S_AML_GSE116256	S_KIRC_GSE111360	S_KIRC_GSE139555	S_NHL_GSE128531.res	S_BCC_GSE123813_aPD1	S_OSCC_GSE117872	G2M_DLBCL_res	G2M_SKCM_GSE72056.res	G2M_SKCM_GSE115978_aPD1.res	G2M_SKCM_GSE123139.res	G2M_SKCM_GSE120575_aPD1aCTLA4.res	G2M_SKCM_GSE148190.res	G2M_Glioma_GSE135437	G2M_Glioma_GSE70630	G2M_Glioma_GSE89567	G2M_Glioma_GSE84465	G2M_Glioma_GSE148842	G2M_HNSC_GSE103322	G2M_HNSC_GSE139324	G2M_BRCA_GSE136206_mouse_aPD1aCTLA4	G2M_BRCA_GSE138536_non_malignant	G2M_BRCA_GSE114727_non_malignant	G2M_MB_GSE119926	G2M_PAAD_CRA001160.res	G2M_CRC_GSE146771	G2M_CRC_GSE146771_10X_non	G2M_CRC_GSE108989_non_malignant	G2M_CRC_GSE136394_non_malignant	G2M_NSCLC_GSE127465.res	G2M_NSCLC_EMTAB6149.res	G2M_NSCLC_GSE131907.res	G2M_NSCLC_GSE99254.res	G2M_NSCLC_GSE139555.res	G2M_CHOL_GSE125449_aPD1aPDL1aCTLA4	G2M_CLL_GSE111014_non_malignant	G2M_LIHC_GSE125449_aPDL1aCTLA4	G2M_LIHC_GSE140228_immune_Smart	G2M_LIHC_GSE140228_immune10X	G2M_LIHC_GSE98638_immune	G2M_ALL_GSE132509	G2M_AML_GSE116256	G2M_KIRC_GSE111360	G2M_KIRC_GSE139555	G2M_NHL_GSE128531.res	G2M_BCC_GSE123813_aPD1	G2M_OSCC_GSE117872
AICDA	0.278918749769018	0.402692568702954	0.382447246474048	0.0336271004534286	0.0132919225413674	0.00216130619047925	0.321502750125314	0.0989400316637647	0.0941594417559693	0.0030849003464572	0.00175767120389868	0.094257582329738	0.0356089929160538	0.0312824933930617	0.00575994941944004	0.00134064187400831	0.14149864881592	0.00675378456131993	0.0609214527161364	0.00839283317188864	0.00290837940068001	0.00132135826512909	0.152257405965388	0.00951843231827286	0.00871323074012092	0.00422812833688704	0.00393584157010428	0.0363212455435681	0.0617097083811812	0.0336351149603524	0.0161498801040972	0.00378100231901562	0.000804163943714012	0.0268135012578238	0.0127581047459472	0.00390196587014496	0.00229640192787301	0.00479975660910565	0.00891178676245122	3.60909632301274e-05	0.312216556602407	0.40490894620425	0.408291087527792	0.0335327060007327	0.0188686561884383	0.00762041340218674	0.268318881618235	0.0889608530877767	0.0861737099452847	0.0014997777966209	0.000517401430574342	0.106298632216458	0.0997903401518999	0.102103855773068	0.00592747443262592	0.00562160589786769	0.125315835723559	0.0488698002357593	0.0611770710965081	0.0540300189671594	0.00215208954748098	0.00150217783608778	0.14357435975381	0.0123801038386769	0.0263048357029033	0.000529778969130733	0.00315627759816529	0.0714144584045677	0.0526806475561089	0.0560304887974826	0.0298297692715156	0.00551581660453556	0.000499384790667672	0.0177395854117391	0.0178199586124749	0.00354719708777798	0.00467385822542625	0.00439376767182532	0.012943662838671	0.000151095312600379	0.371853008202167	0.480078572182917	0.426123424738088	0.0426159108900826	0.029509195447054	0.00461198235065041	0.299723791692613	0.0993245533078924	0.0892321396690007	0.00115827863957504	0.000740542477193192	0.174238290369259	0.136029647738754	0.0662160621685714	0.0214371684855346	0.0142044918330575	0.126124945808095	0.0981874848018898	0.0597126308585683	0.0785048342861379	0.0017311206407569	0.00027862830247284	0.15548994331655	0.0121725024085692	0.0376219951660953	0.00643458561371763	0.00389585311081955	0.0563468319023835	0.0509476891530816	0.0719529182405828	0.0095645445803485	0.00367909658654998	0	0.0225342544558033	0.0238890386147761	0.00623275813320435	0.00590887681695208	0.00645727334402213	0.00769033680636237	0.000903796125470346
UNG	0.17712152508399	0.408474614246084	0.399903295561498	0.0995498022499598	0.249574450363145	0.133872715700616	0.0542689802685421	0.434057590570252	0.528709243648633	0.406417315481352	0.291173648183063	0.567598315062443	0.110172311861538	0.197767782529517	0.0983214354570767	0.0897443678670379	1.06355154474745	0.276361655190665	0.284326825849287	0.0548059772148112	0.487594194605486	0.221826091008916	0.082396608867679	0.183040162503302	0.134750831122246	0.517856319149893	0.223495067646376	0.182144792454652	0.101892016877738	0.202919877482141	0.241670069915129	0.15141151249058	0.486663026650932	0.372195215184938	0.226725371572854	0.334983132011207	0.0817550532301396	0.251242279504186	0.238578863023839	0.318456962915845	0.791242525316265	1.04378125478126	1.18155303966637	0.635636116878123	0.873197049593647	0.580644308552737	0.277907360785068	0.945132270660918	1.12508095943317	1.14471811326707	0.772522690044823	1.44513581190383	0.559882684811638	1.16033104770589	0.224891126103896	0.760234687825483	1.88920146957582	0.644036611806412	0.789653629222035	0.393780955652012	1.06562236809041	0.568117592784912	0.379659549825401	0.834753603785731	0.522855228087118	1.11106579463428	0.939383078664834	0.617246476577456	0.641026134300886	0.639911072070415	0.781473845642477	0.64878685291417	1.02948494682977	1.40219438957841	1.09434014148853	0.901351017065874	0.628292731670538	0.73295945740817	0.684373533740309	0.912954001293196	0.18473396629523	0.386360092225558	0.48785397808958	0.151666227658274	0.247701432385852	0.283086639787196	0.111801580106701	0.501230716441264	0.609905366642257	0.281339229801009	0.29219852961941	0.508287196365492	0.185042592834164	0.264479905089367	0.133915988515185	0.232144731669558	1.07842166817597	0.305366497104589	0.347963288071096	0.139050465253892	0.423499858842009	0.19359051563893	0.114767152099058	0.27465768667902	0.180829496230559	0.561463819271323	0.375480638986102	0.237143306849396	0.183415570015832	0.179261900036488	0.339429407024422	0.253236560104246	0.45896442064558	0.313969319119923	0.276404927130028	0.326981951434361	0.20001063022574	0.228982334708197	0.317282161143287	0.248293357741078
MSH2	0.241065969335304	0.43557056362975	0.470552441532254	0.148820692106235	0.221974929295069	0.0999740973887085	0.103723546174063	0.60746701466349	0.551233819012477	0.216119243370038	0.315463985685212	0.58600274783111	0.119940636172765	0.415784496622273	0.158102812077883	0.0818812923808223	1.244318620589	0.165345162624804	0.237863438744877	0.0898233966560795	0.486892297225332	0.235314610591207	0.0860465134144366	0.150286977858919	0.108363624398216	0.387580735679544	0.105351333467814	0.0793229685582156	0.0875669590480564	0.0936715250676603	0.230018731884973	0.155265981858658	0.458092982586517	0.514452998155258	0.448515883261252	0.162570180669994	0.048007590731948	0.184941796776	0.194387886331901	0.374740133878424	0.75535955695867	0.989777669971055	1.16424512090978	0.748059321006405	0.739866233389688	0.382406647781869	0.456241159316574	1.01986528732469	1.0833798137449	0.797334529717663	0.985861732066508	1.43964562488748	0.553252196972991	0.919503829641873	0.272724012024848	0.675353705928313	1.78628580988998	0.4722168247536	0.69058003807502	0.489458248335915	1.0276226562498	0.635876957004307	0.394831328780481	0.75402167389066	0.438517580051958	1.03184852186992	0.444949763494971	0.426503765479415	0.581330077901337	0.350166659826192	0.894305435435275	0.654462525603475	0.981259535487198	1.13265589448809	1.43165896308062	0.525555222743741	0.438079504338647	0.600140605444712	0.545974899766669	0.872455601450236	0.408070066972601	0.536142322946336	0.652827105469931	0.339545239177366	0.328887179539804	0.202863730487696	0.162571248546763	0.624996426241909	0.612204970152279	0.291880420168659	0.473068770457294	0.902114122688959	0.23275815595828	0.48298459656524	0.0873161314914678	0.181924564770338	1.36057099746157	0.226762603771739	0.335305878646355	0.195674826414292	0.570437583364247	0.338940112702946	0.141986639873218	0.270822687178379	0.166189208610088	0.567497410741269	0.170084315938529	0.137694980889713	0.215896306713497	0.148599670095939	0.333877134625448	0.276741075838417	0.691333216714464	0.67104115379498	0.847168653817731	0.254173445091037	0.142404563528877	0.247427210363966	0.241853102483895	0.502742375103131
MSH6	0.414060770916298	0.518124963076205	0.639839321785295	0.500869523367467	0.420554000252981	0.354906168210776	0.46074289092884	0.630441172218848	0.769031030913709	0.846165954209773	0.61359654370353	0.752382570668714	0.207818568665224	0.243627200831055	0.433642706200093	0.335553083390727	0.927335119549271	0.286868004284688	0.532162708663211	0.299493342802295	0.617355635533744	0.389479453987468	0.382297127938489	0.292730740855449	0.240350091403545	0.614300299455535	0.244992706671482	0.196895940426454	0.202507304211382	0.254128268105533	0.84918110459652	0.270154174855202	0.643745529028779	1.1506860059426	0.660804299738221	0.289217044471511	0.290388282097685	0.395384678560157	0.42264352107747	0.402926348863779	0.746438518138401	0.71640923178881	0.983884704130217	0.723064705331952	0.692326316238324	0.444387798967946	0.405753841063411	0.744688237932942	0.944550394598015	1.00690919163217	1.00963595602852	1.4218241749746	0.334574576831106	0.525464080912133	0.451180102435498	0.353921716860906	1.45654210512039	0.375942604770021	0.588045384032029	0.355916971080618	0.739715589261717	0.482704764554141	0.455035383376122	0.579063692117568	0.297734688120533	0.657108767591813	0.279686766723755	0.35040147753929	0.226825014724972	0.369558440222862	0.78720939568594	0.341393354540453	0.7757288859443	1.59687277695013	1.52015313978921	0.39251940772316	0.356810797489174	0.645128244251583	0.517535076398938	0.825350726415221	0.551973138688236	0.552656559436344	0.622719081413341	0.512821422808704	0.487268396016254	0.413517377029593	0.429211809526633	0.643230687059463	0.825835769820524	0.933057299020066	0.71951868904771	1.03678214682246	0.263846848589674	0.326767929386676	0.437476016405954	0.33367469706273	1.02182170063421	0.286317908709515	0.536577478315224	0.316683904679347	0.611323192900844	0.409658615769036	0.371101673856489	0.373998304134872	0.263959001849697	0.604397325075763	0.262210974183797	0.29399077038511	0.220169828457335	0.318451620923267	0.81957012178152	0.310887705401546	0.552139722219314	0.975783089653756	1.06282581517608	0.288851632494598	0.330691296435475	0.477353381322955	0.46338601000703	0.338903237227801
NHEJ1	0.00581808358816733	0.474319996621412	0.446125236515482	0	0.343268994346013	0.317720344507851	0.101283539362615	0.374732240172097	0.294304889229728	0.178310500896676	0.00141369760517659	0.35188186142268	0.0120111289471539	0.145761473669617	0.0802027169657708	0.0312751794237599	0.480446293078865	0.0260389075141999	0.336859122699424	0.0289568535313307	0.439801280726909	0.117885377654302	0.0134881167226253	0.0120611432367856	0.00444278275853271	0.531688053499935	0.31437471417821	0	0.00780631691696812	0	0.236547094441902	0.0591693798264077	0.506601069920901	0.00711251057862291	0.166148496611194	0.213670562421697	0.242431041462531	0.00337350681038225	0.141235898235125	0.00513355082606272	0.00721797195805333	0.493620446132035	0.48249968017085	0	0.382140495799366	0.347344973043173	0.0862668399994957	0.412193743433597	0.346009984635063	0.161014881985173	0.00115981352787248	0.365804864340864	0.0118625397752245	0.133678874763624	0.152664859378282	0.0464686724515983	0.493808904426636	0.0215320597333322	0.400512583058159	0.0366024700329739	0.448794931053176	0.137310657046585	0.0211205333094319	0.0154821571844427	0.00617817301436237	0.51449969927277	0.325828609912227	0	0.0115148147374279	0	0.322277493518392	0.0706841810730582	0.533353589075422	0.00999624176112614	0.152745755148995	0.239485492153753	0.25594047923122	0.00669910710719749	0.191007313252928	0.00420770252336119	0.00305158084083671	0.40962185208733	0.461665894847755	0	0.378381744960148	0.349924306446745	0.0798903081805376	0.361055866924884	0.288262813884174	0.19098265507032	0	0.230898461659623	0.0117321368633695	0.149884160902231	0.0621094398364075	0.02881447201401	0.48895507469526	0.0316562221509261	0.357427406983549	0.0310844735826053	0.400740378325337	0.125820583100606	0.00984132171620399	0.0130830416186713	0.00611038058880806	0.575491537590074	0.354217036927767	0	0.00457410040643602	0	0.245077230069714	0.065091385501359	0.426466966767425	0.00310398744491613	0.167846747199889	0.200526299369626	0.271592990410384	0.00310116040536198	0.171483555090909	0.00501073644673847
TP53BP1	0.258230000477046	0.432741364728331	0.735812368924959	0.359021335236081	0.577665448237201	0.40380370298353	0.335618488692292	1.03083777598872	0.909001530863919	0.855032558805065	0.681175954394813	0.469696211802577	0.231583252324436	0	0.787303249625321	0.490170794291599	1.15546155358922	0.336984742240181	0.445257231364436	0.210795353808034	0.58405252372782	0.53524817351633	0.389291025225864	0.297872687638255	0.286240377314223	0.507369494779426	0.345825139683545	0.387812130895718	0.325879490517313	0.229448842799791	0.574539906533009	0.264197444680098	0.611572939470687	0.444256513434442	0.705188415509612	0.337665227592079	0.284273079571343	0.325829293568184	0.660213750177538	0.283205159189233	0.238426948580966	0.382844693007563	0.705475364209589	0.431411349038359	0.643397523916616	0.500859378043878	0.317273614695779	1.06765624370223	1.01831409712985	0.796182348621682	0.795096563752359	0.500901512063452	0.271565431785197	0	0.695233224605845	0.359365750968094	1.09076749344616	0.287349441436085	0.403266893742867	0.255892146524169	0.608469706174766	0.513802823538881	0.403800674924592	0.273024009574253	0.29004520175233	0.541491152246743	0.365850681655429	0.370496729311886	0.302285612286997	0.303623479086871	0.681993614044403	0.333050886352462	0.604079305993243	0.437328504268443	0.862400290878433	0.378901316051238	0.283498396690538	0.274940703056448	0.733963951650473	0.266568707858907	0.282854248496753	0.486465959524176	0.698973152076808	0.431759178798498	0.667404561381919	0.481521671819271	0.330144368745322	1.04752833988625	0.876437699461807	0.846709165878067	0.693675996150003	0.424965186234905	0.277652635262831	0	0.859000118928098	0.450906991539108	1.00976146093256	0.31123458565739	0.464156985096349	0.254347606643655	0.675671493695696	0.544951059019286	0.37401795165527	0.299716349375619	0.301583314770253	0.556377789955516	0.396162111250005	0.22863316099242	0.312623031050879	0.437269836850444	0.656635785690344	0.34028031459523	0.650670910433349	0.364699280642552	0.756050300772409	0.42161727976803	0.298926234733939	0.319155704446824	0.740310759970249	0.321490655883882
TRP53BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248507165994759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246226368948005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257671358483964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
