ALL_GSE132509	AML_GSE116256	BCC_GSE123813_aPD1	BRCA_GSE114727_non_malignant	BRCA_GSE136206_mouse_aPD1aCTLA4	BRCA_GSE138536_non_malignant	CHOL_GSE125449_aPD1aPDL1aCTLA4	CLL_GSE111014_non_malignant	CRC_GSE108989_non_malignant	CRC_GSE136394_non_malignant	CRC_GSE139555_non_malignant	CRC_GSE146771_10X_non	CRC_GSE146771	DLBCL_res	Glioma_GSE135437	Glioma_GSE148842	Glioma_GSE70630	Glioma_GSE84465	Glioma_GSE89567	HNSC_GSE103322	HNSC_GSE139324	KIRC_GSE111360	KIRC_GSE139555	LIHC_GSE125449_aPDL1aCTLA4	LIHC_GSE140228_immune10X	LIHC_GSE140228_immune_Smart	LIHC_GSE98638_immune	MB_GSE119926	NHL_GSE128531.res	NSCLC_EMTAB6149.res	NSCLC_GSE127465.res	NSCLC_GSE131907.res	NSCLC_GSE139555.res	NSCLC_GSE99254.res	OSCC_GSE117872	PAAD_CRA001160.res	SKCM_GSE115978_aPD1.res	SKCM_GSE120575_aPD1aCTLA4.res	SKCM_GSE123139.res	SKCM_GSE148190.res	SKCM_GSE72056.res
DC	0	0	0.00271105827643495	0	0	0	0	0.042905450717647	0	0	0	0	0	0	0	0	0	0	0	0	0.0116917373832688	0.0135756405385405	0	0	0.0083523907426072	0.0162715047293082	0	0	0	0	0.0732904626579192	0.00678947391833066	0	0	0	0.0199563379870118	0	0.00306280737607114	0	0	0
Endothelial	0	0	0	0	0.0141783070132562	0	0.0202269364151468	0	0	0	0	0	0.0244206472750673	0	0	0	0	0	0	0.0819415411812949	0	0	0	0.0426076628077845	0	0	0	0	0.00321687393703086	0	0.121558528673597	0.00175252825903449	0	0	0	0.00369770540373799	0.262267250717949	0	0	0	0.242007540768678
Fibroblasts	0	0	0	0	0.0051551327332574	0.00149379827441974	0.0335909097172762	0	0	0	0	0	0.024246533770041	0.211050249956746	0	0	0	0	0	0.107387832877568	0	0.0016052149421064	0	0.0545373742120422	0	0	0	0.0960610765794194	0.00179381100947906	0.00576941876166702	0.197331766599835	0.00859571148843224	0	0	0	0.00579348806275858	0.146420929462902	0	0.0132857548373702	0	0.203832306446278
Mast	0	0	0	0	0	0	0	0	0	0	0.0130894420897903	0	0.0456939954933173	0.0224971000345605	0	0	0	0	0	0.097975864567995	0.0322800827704995	0	0	0	0	0.000679606558172475	0	0	0	0.00246236676077132	0.16538148758527	0	0	0	0.000164086300404953	0	0	0	0	0	0
Melanocytes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myofibroblasts	0	0	0	0.00265365437031494	0	0.0103925081750744	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0729903360514515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treg	0	0	0	0	0	0	0	0	0.00135410123806283	0	0	0	0.0316426576985682	0	0	0	0	0	0	0	0.00946348333379752	0	0	0	0.0078885483883016	0	0.00123121522402642	0	0	0	0	0	0	0.000197868282545928	0.000297223109531829	0	0	0.00406265810675187	0	0.00554058042206111	0
Neutrophils	0	0	0	0	0.0830522023299224	0	0	0	0	0	0	0	0	0.217750868955454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.327449547064076	0	0	0	0.00020493265879142	0	0	0	0	0	0
Epithelial	0	0	0	0	0	0.0110747179254086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00140243457957928	0	0	0	0	0	0	0	0	0
Hepatic progenitor	0	0	0	0	0	0	0.0275147815008214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0399649028646761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
