Hugo_Symbol	metamaintype	n	prop
FGFR3	Salivary Gland Cancer	NA	NA
FGFR3	Skin Cancer, Non-Melanoma	NA	NA
FGFR3	Small Cell Lung Cancer	NA	NA
FGFR3	Soft Tissue Sarcoma	NA	NA
FGFR3	Thyroid Cancer	NA	NA
FGFR3	Uterine Sarcoma	NA	NA
FBXW7	Appendiceal Cancer	NA	NA
FBXW7	Bladder Cancer	1	0.0263157894736842
FBXW7	Bone Cancer	NA	NA
FBXW7	Breast Cancer	NA	NA
FBXW7	CNS Cancer	NA	NA
FBXW7	Cancer of Unknown Primary	NA	NA
FBXW7	Cervical Cancer	NA	NA
FBXW7	Colorectal Cancer	18	0.0659340659340659
FBXW7	Endometrial Cancer	NA	NA
FBXW7	Esophagogastric Cancer	2	0.0689655172413793
FBXW7	Gastrointestinal Neuroendocrine Tumor	NA	NA
FBXW7	Gastrointestinal Stromal Tumor	NA	NA
FBXW7	Germ Cell Tumor	NA	NA
FBXW7	Glioma	NA	NA
FBXW7	Head and Neck Cancer	NA	NA
FBXW7	Hepatobiliary Cancer	NA	NA
FBXW7	Melanoma	1	0.0285714285714286
FBXW7	Mesothelioma	NA	NA
FBXW7	Non-Small Cell Lung Cancer	1	0.0140845070422535
FBXW7	Ovarian Cancer	NA	NA
FBXW7	Pancreatic Cancer	NA	NA
FBXW7	Peripheral Nervous System	NA	NA
FBXW7	Prostate Cancer	NA	NA
FBXW7	Renal Cell Carcinoma	NA	NA
FBXW7	Salivary Gland Cancer	NA	NA
FBXW7	Skin Cancer, Non-Melanoma	NA	NA
FBXW7	Small Cell Lung Cancer	NA	NA
FBXW7	Soft Tissue Sarcoma	NA	NA
FBXW7	Thyroid Cancer	NA	NA
FBXW7	Uterine Sarcoma	NA	NA
EGFR	Appendiceal Cancer	NA	NA
EGFR	Bladder Cancer	NA	NA
EGFR	Bone Cancer	NA	NA
EGFR	Breast Cancer	NA	NA
EGFR	CNS Cancer	NA	NA
EGFR	Cancer of Unknown Primary	NA	NA
EGFR	Cervical Cancer	NA	NA
EGFR	Colorectal Cancer	NA	NA
EGFR	Endometrial Cancer	NA	NA
EGFR	Esophagogastric Cancer	NA	NA
EGFR	Gastrointestinal Neuroendocrine Tumor	NA	NA
EGFR	Gastrointestinal Stromal Tumor	NA	NA
EGFR	Germ Cell Tumor	NA	NA
EGFR	Glioma	17	0.0890052356020942
EGFR	Head and Neck Cancer	NA	NA
EGFR	Hepatobiliary Cancer	NA	NA
EGFR	Melanoma	NA	NA
EGFR	Mesothelioma	NA	NA
EGFR	Non-Small Cell Lung Cancer	10	0.0107411385606874
EGFR	Ovarian Cancer	NA	NA
EGFR	Pancreatic Cancer	NA	NA
EGFR	Peripheral Nervous System	NA	NA
EGFR	Prostate Cancer	NA	NA
EGFR	Renal Cell Carcinoma	NA	NA
EGFR	Salivary Gland Cancer	NA	NA
EGFR	Skin Cancer, Non-Melanoma	NA	NA
EGFR	Small Cell Lung Cancer	NA	NA
EGFR	Soft Tissue Sarcoma	NA	NA
EGFR	Thyroid Cancer	NA	NA
EGFR	Uterine Sarcoma	NA	NA
