Gene	Pt9_On	Pt9_Pre	Pt84_On	Pt84_Pre	Pt5_On	Pt5_Pre	Pt10_On	Pt10_Pre	Pt8_On	Pt8_Pre	Pt77_On	Pt77_Pre	Pt66_Pre	Pt28_On	Pt28_Pre	Pt30_On	Pt30_Pre	Pt29_Pre	Pt13_On	Pt27_On	Pt27_Pre	Pt4_On	Pt4_Pre	Pt59_Pre	Pt72_Pre	Pt11_On	Pt11_Pre	Pt89_On	Pt89_Pre	Pt31_On	Pt31_Pre	Pt87_On	Pt94_On	Pt94_Pre	Pt18_On	Pt18_Pre	Pt44_On	Pt44_Pre	Pt3_On	Pt3_Pre
PECAM1	-0.455213456411517	-0.304960439113595	-0.198509713182509	-0.358967136773446	1.52096394356247	1.00439602087559	0.355313257171905	1.21563021229918	-1.24359345716008	-1.37905668383895	0.520892280066003	0.0281997858420714	0.0894215142171492	2.3579153313851	2.97316702382203	-0.0288907508884753	1.84152277701794	-0.251578760728377	0.215808102485022	0.610985302530607	0.847212137720247	-0.405217818902727	-0.144133966926052	-0.721052360017838	-0.968541276007165	-1.59107509465591	-1.1406565114353	-0.777272691100283	-0.554204689538503	-0.503745548020654	-0.0901594243502565	-0.608513948236098	-0.664080724367838	-1.04898340137093	0.150183528263498	-0.837187337570291	-0.89963998184732	0.435586797232134	0.287866764911113	0.720170393042031
PEX1	0.0281997858420714	-0.554204689538503	-1.37905668383895	-1.04898340137093	-0.721052360017838	-1.1406565114353	-0.777272691100283	-0.664080724367838	-1.59107509465591	-0.358967136773446	0.0894215142171492	-0.405217818902727	0.287866764911113	2.3579153313851	2.97316702382203	0.215808102485022	0.520892280066003	0.720170393042031	-0.455213456411517	-0.968541276007165	-0.89963998184732	-0.0288907508884753	-1.24359345716008	0.355313257171905	-0.144133966926052	1.52096394356247	1.84152277701794	-0.837187337570291	-0.0901594243502565	-0.198509713182509	0.435586797232134	-0.608513948236098	0.847212137720247	1.00439602087559	0.610985302530607	0.150183528263498	1.21563021229918	-0.251578760728377	-0.503745548020654	-0.304960439113595
PFAS	-0.893562657636383	-0.893562657636383	-0.893562657636383	-0.893562657636383	0.278037681732265	-0.893562657636383	-0.893562657636383	-0.443721504618415	0.431869252691508	-0.395557318772435	0.0713822661870494	0.202997776392021	1.56215110329666	-0.893562657636383	-0.893562657636383	-0.893562657636383	0.00762764533568285	3.07443537292574	-0.893562657636383	-0.171835975820388	-0.893562657636383	1.02421150359913	0.348274600159283	0.520704031763672	-0.115628374550729	-0.339316232084333	-0.0518248663797281	2.43372921482509	1.89597223886312	-0.283726023245266	-0.228461379547176	0.134658153204759	-0.893562657636383	-0.893562657636383	0.860524539175013	0.614524422677737	-0.893562657636383	0.728226767138363	1.24418496959716	-0.893562657636383
CFP	0.720170393042031	0.847212137720247	-0.89963998184732	-0.777272691100283	-1.37905668383895	-1.1406565114353	-0.304960439113595	-0.554204689538503	0.0894215142171492	-0.251578760728377	-0.405217818902727	0.520892280066003	-0.358967136773446	-0.455213456411517	-0.0901594243502565	-0.968541276007165	-1.24359345716008	0.610985302530607	0.287866764911113	-0.0288907508884753	0.355313257171905	2.97316702382203	1.52096394356247	-0.198509713182509	1.84152277701794	1.21563021229918	1.00439602087559	0.150183528263498	-0.144133966926052	-1.59107509465591	-0.608513948236098	0.435586797232134	-0.721052360017838	-0.837187337570291	-0.503745548020654	-0.664080724367838	-1.04898340137093	2.3579153313851	0.0281997858420714	0.215808102485022
PFN2	2.36749941184413	2.98597299929617	0.354410290265616	0.520856402572111	1.52616515187751	0.148206356346241	-1.05724026337337	-1.3207325173614	-0.670321962469378	-0.976376885884818	0.286610600248729	1.00689211251149	0.84888510286041	-0.907114775592457	-1.3207325173614	0.025583820376638	0.721178077340349	-0.72759194208358	0.435104199618194	-0.147652394368926	-0.559870538651683	-1.3207325173614	-0.0318056829686515	-0.844335084895645	1.21923247624917	-0.255659845454128	-0.460360917092007	-0.363610583338612	0.214174587466483	-0.410103466901924	-0.509147157216216	0.0871261492212365	-0.309321068236546	-0.614464199216065	-0.0933952027377832	-1.3207325173614	0.61142121611595	1.84840265915096	-0.784106682765689	-0.202312890668269
PGM5	1.84152277701794	2.3579153313851	0.287866764911113	0.215808102485022	1.00439602087559	0.847212137720247	-0.455213456411517	-1.1406565114353	0.355313257171905	0.150183528263498	-0.554204689538503	-0.89963998184732	1.52096394356247	1.21563021229918	2.97316702382203	0.0894215142171492	-0.0288907508884753	-0.0901594243502565	0.610985302530607	-0.503745548020654	-0.304960439113595	-0.664080724367838	-0.198509713182509	-1.24359345716008	-0.358967136773446	-1.04898340137093	-1.59107509465591	-0.837187337570291	-0.777272691100283	-0.251578760728377	0.435586797232134	-0.405217818902727	-1.37905668383895	-0.968541276007165	-0.608513948236098	-0.721052360017838	-0.144133966926052	0.0281997858420714	0.520892280066003	0.720170393042031
PHF2	1.00439602087559	1.21563021229918	0.435586797232134	0.355313257171905	-0.405217818902727	0.287866764911113	-0.0901594243502565	0.610985302530607	0.215808102485022	0.0281997858420714	-0.198509713182509	-0.358967136773446	-1.04898340137093	1.84152277701794	2.3579153313851	-0.89963998184732	2.97316702382203	-0.304960439113595	0.520892280066003	-0.0288907508884753	0.0894215142171492	-0.664080724367838	-0.721052360017838	0.150183528263498	-0.968541276007165	-0.837187337570291	-0.777272691100283	-0.503745548020654	-0.554204689538503	-0.251578760728377	-0.608513948236098	-1.1406565114353	0.847212137720247	1.52096394356247	-0.144133966926052	-1.37905668383895	-0.455213456411517	0.720170393042031	-1.24359345716008	-1.59107509465591
PIK3C2A	-0.537358704823757	0.467436718559567	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	0.665280864507334	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	0.931737504935984	0.788438305020884	-0.537358704823757	-0.537358704823757	-0.537358704823757	1.34730181771479	-0.537358704823757	0.563658692442463	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757	1.69170892191465	2.6357644726834	3.32974955212273	1.10903611456041	-0.537358704823757	2.0532894754267	-0.537358704823757	-0.537358704823757	-0.537358704823757	-0.537358704823757
PI4KA	0.435586797232134	1.21563021229918	-0.837187337570291	-1.1406565114353	-0.304960439113595	-0.777272691100283	-1.24359345716008	-0.968541276007165	-0.144133966926052	-0.503745548020654	0.287866764911113	0.0894215142171492	-0.405217818902727	-0.251578760728377	-0.608513948236098	0.215808102485022	-1.37905668383895	1.52096394356247	-0.89963998184732	0.355313257171905	0.520892280066003	-0.358967136773446	-1.59107509465591	-1.04898340137093	-0.554204689538503	2.3579153313851	1.84152277701794	0.720170393042031	2.97316702382203	0.150183528263498	1.00439602087559	-0.198509713182509	0.0281997858420714	-0.664080724367838	-0.0288907508884753	-0.455213456411517	0.847212137720247	0.610985302530607	-0.721052360017838	-0.0901594243502565
PIN1P1	2.98176890847544	1.84611958248609	-0.668351670808672	-0.725524938652478	-0.458745186486665	-0.362158234947245	-0.558086766225175	-0.408572606013948	-1.38585805036659	-1.38585805036659	-1.14661413968481	-0.842070937409332	0.214651230485619	-0.612588234517075	-0.904744612090894	-0.973889759511033	0.354650117361614	0.435207758971716	-1.0546165830764	1.00603009405759	1.5244262374426	0.286964920628957	0.611227029059723	0.720798543957241	0.520815152246654	0.148794399866381	0.087817338840031	0.0263789364786782	-0.201132925566089	-0.254389793390553	-0.307960398507452	0.848289910721819	-0.146564734404681	-0.0309136532565827	-1.38585805036659	1.21801187878683	-0.781944242935593	2.36433973689343	-0.50744904132481	-0.0923991668511908
