AICDA_exp	APOBEC3A_exp	APOBEC3B_exp	UNG_exp	SMUG1_exp	Intratumor.Heterogeneity	Proliferation	Aneuploidy.Score	Homologous.Recombination.Defects	B.Cells.Memory	B.Cells.Naive	Dendritic.Cells.Activated	Dendritic.Cells.Resting	Eosinophils	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.Cells.Activated	Mast.Cells.Resting	Monocytes	Neutrophils	NK.Cells.Activated	NK.Cells.Resting	Plasma.Cells	T.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Resting	T.Cells.CD4.Naive	T.Cells.CD8	T.Cells.Follicular.Helper	T.Cells.gamma.delta	T.Cells.Regulatory.Tregs	Lymphocytes	AICDA_signature_weight	AICDA_mutations_log.x	Lymphocyte.Infiltration.Signature.Score	EBV	HBV	HCV	HPV	AICDA_mutations	polyoma_BK_virus	polyoma_JC_virus	polyoma_KI_virus	polyoma_Merkel_cell	polyoma_WU_virus	AICDA_exp_log	AICDA_mutations_log.y	BCR.Evenness	BCR.Shannon	BCR.Richness	TCR.Shannon
ACC	0.0379993660927576	0.00813187513504364	0.00428598930307686	0.709803659812268	0.489911764645708	0.18167648728416	0.0265653764667156	0.699786450595061	0.197428654912617	0.567417240390558	0.290796009556506	0.205342532600173	0.449962401209406	0.427041248298348	0.990399362449677	0.328340460092443	0.201278308306542	0.557049081646495	0.724236862616817	0.559838150431557	0.912933366300523	0.315250595728026	0.400039211081703	0.284512915969166	0.056832873410273	0.964244243223812	0.760363528179425	0.421345507208185	0.0319537764772978	NA	0.5649728861356	0.409865081760705	0.938008499050152	0	0.380108599658196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLCA	0.0637835736467652	0.000837858514798488	2.89550352840537e-09	0.200231476159725	0.227036505681145	0.00665212757787344	2.24205371270453e-07	0.000294928045957857	1.16729649115112e-08	0.00316391594301078	0.901489481863532	0.0951557629646922	0.0158321495730972	0.499251565710063	0.253008813233598	0.0230979589018464	0.290691541774434	0.0548983182096801	0.000769995889635053	0.113278970291676	0.935823224905427	0.215386414772685	0.178666936637596	0.0419875544369168	0.00893998516845311	0.844311452424227	0.00784154403784275	5.37582241762726e-05	0.982939096403299	0.382718454112618	0.865007062316456	0.178117252026231	0.663609586839379	0	0.0641532083084641	0.871761975227963	0.724016694878686	NA	0.589803184574997	0	0.560575728290149	NA	NA	NA	NA	0.623903448086424	4.05353144697264e-51	0.697747742933707	0.193018090972629	0.114575236457422	0.810865798346223
BRCA	2.93205911962638e-05	1.21562580152621e-13	2.59599519336825e-06	0.122923859900153	0.380232183526351	0.0093658019734537	1.84697967384138e-12	0.065213776577867	2.85914616384246e-13	0.15690828354405	0.895853643242875	0.135339133867128	0.0468036629165817	0.311425500947541	0.398700235000449	4.67734076841211e-12	0.000769638155508128	0.9405994032121	2.79952891462271e-12	0.0323368913752166	0.895795576228646	0.151257304351397	0.314394480037171	0.190288102283367	7.33222723244174e-05	0.232602680087497	0.474950520273559	0.0017566740111121	8.55039764508477e-05	0.110706610212564	0.000370760482781861	0.000488227609290924	0.150916465901883	0	5.7609235711805e-09	0.971596068969283	NA	NA	0.802864140683188	0	NA	NA	NA	NA	NA	0.625997159354473	5.47546196357447e-66	0.696132007661411	0.717272179038427	0.982320947309836	0.129367635882583
CESC	0.931561514005158	0.000129321505732324	0.298891351525414	0.1437109190735	0.950336735343049	0.355331906836748	0.259590964738186	0.895984556670343	0.793307255418084	0.876727496902435	0.171845212388245	0.233202071136234	0.0252241470933334	0.257365169058893	0.982640803526874	0.000192515150613735	0.61175004460641	0.740228425385803	0.0195143572177981	0.283918982280147	0.274620042610394	0.556034252465018	0.726563280507071	0.131247329887381	0.00469936736237816	0.0399122379949598	0.659942574787041	0.0338617294128891	0.017375713491238	0.488984176921823	0.525097353236465	0.804862305949185	0.397780376711396	0	0.186260963091207	0.690836771709866	0.93754646557944	NA	0.0602882634437886	0	NA	NA	NA	NA	NA	0.118494289154606	6.18792938601951e-40	0.759596323026474	0.820240865367071	0.930652974225141	0.292751722636169
COAD	0.0552739695206732	0.00022805573254749	0.680505505232942	0.0376526782283662	0.0131032530849415	4.23761058060549e-06	9.50181731799332e-07	5.56038349551247e-20	3.82269366757163e-11	0.00316942071907634	0.921432043596925	0.0497321187798934	0.0822265391218601	0.0765750550494182	0.0113291032231376	2.8835848951329e-07	0.411993906060438	0.381875361510442	0.899057246671637	0.0485753516042887	0.00550129515101383	7.22613081391037e-06	0.320002314016666	0.00440931114044341	0.320069504908181	0.0538765979017346	0.992653441241833	0.00391939423165315	0.0511916500031088	0.822197501701945	0.0858674843819101	0.82977396369661	0.00810793423666347	0	2.23945009530606e-05	0.678345140815285	0.775743593252065	NA	0.277603051984286	0	NA	NA	NA	NA	NA	0.246410690714306	1.7142072154793e-58	0.663837581875355	0.993600626349199	0.819351752146882	0.05569408524148
DLBC	0.0483976096279636	0.916463975312857	0.865413857573937	0.433183762591014	0.578410156833207	0.435871065293469	0.518375521182389	0.113071487130776	0.0734322111930954	0.53330749775149	0.844184419598026	0.0309648009399972	0.22110517952149	0.529178631174689	0.201047340088714	0.680326256985758	0.462853889453494	0.531793637723999	0.044393413199613	0.195106747859636	0.930241226334544	0.998275075952627	0.515819730028568	0.343223742097103	0.735887238051417	0.0955235271618038	NA	0.161360283654765	0.0288897538008762	0.400471077144004	0.67192418568416	0.163459069878186	0.023735785662729	0	0.0329509266221116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBM	0.0648078933009668	0.282151710204848	0.26415217180458	0.470713131235287	0.163378840517861	0.637775333622519	0.0755610016481221	0.556282251785094	0.774433654487366	0.653326797243268	0.139465291368832	0.404540064146898	0.804951458870658	0.331022146207392	0.0479403133346546	0.566046224599018	0.641238268181426	0.844387469118645	0.718897061819255	0.227030632049055	0.73727653247701	0.574239284977889	0.500501993846934	2.34178668904944e-06	0.875082843887536	0.0458846133666701	0.362048367422686	0.457946817463884	0.0309776948782331	0.942680215002949	0.213870090578851	0.638839086511138	0.555731870791583	0	0.189586819897545	0.907222180912361	NA	NA	0.89241717712116	0	NA	NA	NA	NA	NA	0.251270859903812	3.81951231771575e-20	0.037879346400091	0.348547059503119	0.254918507152334	0.538537691517585
HNSC	0.223374232506918	0.00215128251108561	0.0373405909955327	0.355989333918466	0.165137013781256	0.159181941760938	0.00794790813016682	0.881232572271	0.133523502305528	0.193065761019073	0.289498546558134	0.151073095659607	0.518793582914495	0.473611859620197	0.0853639116074571	0.0521449364152235	0.992326056495109	0.120626815498217	0.0659331302386313	0.362831378373593	0.482795494541457	0.720048851803773	0.129637302219986	0.0754642165298804	0.00281491659019788	0.12973574331871	0.934308736088639	0.0217961375060556	0.606921332022031	0.669139041664271	0.0487298106698817	0.190671875079314	0.132219522333977	0	0.995738366540385	0.647832424365961	0.923690659302632	0.969529637125108	0.635063372902776	0	NA	NA	NA	NA	NA	0.671359486488843	8.6967282634291e-90	0.946835087683267	0.0365304707646339	0.0311410317955538	0.0944318188621467
KICH	0.714211447024064	0.705134144262638	0.0371149186928886	0.122741098379394	0.648371361267149	0.0867931704631552	0.0838209516211646	0.148681540306172	0.157603824002527	0.526920731502561	0.97843367073899	0.344830761258658	0.354869643964065	0.718349940543944	0.304078929164948	0.0260797398319821	0.148271448410645	0.221486138976937	0.46133662915839	0.583205568192974	0.505622259824961	0.0245526686813823	0.92630822714892	0.00869605179160186	0.567801919854014	0.690792440447849	0.550031660869752	0.033320760792802	0.652641500469966	0.573274444047644	0.0120323602761872	0.138462912155428	0.478903488688916	0	0.536301141675031	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIRC	0.343168414030147	0.797431457588966	0.634996889815943	0.742643893992538	0.304536811947023	0.744618659933756	0.063877242626379	0.642727042223119	0.0960403127637574	0.0363689155703997	0.237013755744379	0.101991185088736	0.504540464945974	0.495893429079922	0.0924067166372477	0.572163656250883	0.425639382286324	0.192125038322536	0.0238519313799328	0.591693713482297	0.77574670360968	0.807756188476268	0.795407807643428	0.559676290476004	0.136918122740561	0.406472804605883	0.228282420813462	0.595263008725315	0.635077662806149	0.949047326362853	0.716500012884015	0.331369337176626	1.18475287962504e-05	0	0.203042187938616	NA	0.340979032496696	NA	0.565741005600801	0	NA	NA	NA	NA	NA	0.849124810408091	1.39093139503478e-129	0.524253362053203	0.339135363869585	0.435210941819196	0.776239871971983
