APOBEC3A_exp	APOBEC3B_exp	UNG_exp	SMUG1_exp	Intratumor.Heterogeneity	Proliferation	Lymphocyte.Infiltration.Signature.Score	Aneuploidy.Score	Homologous.Recombination.Defects	B.Cells.Memory	B.Cells.Naive	Dendritic.Cells.Activated	Dendritic.Cells.Resting	Eosinophils	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.Cells.Activated	Mast.Cells.Resting	Monocytes	Neutrophils	NK.Cells.Activated	NK.Cells.Resting	Plasma.Cells	T.Cells.CD4.Memory.Activated	T.Cells.CD4.Memory.Resting	T.Cells.CD4.Naive	T.Cells.CD8	T.Cells.Follicular.Helper	T.Cells.gamma.delta	T.Cells.Regulatory.Tregs	Lymphocytes	BCR.Evenness	BCR.Shannon	BCR.Richness	TCR.Shannon	EBV	HBV	HCV	HPV	polyoma_BK_virus	polyoma_JC_virus	polyoma_KI_virus	polyoma_Merkel_cell	polyoma_WU_virus
ACC	0.0252273245238607	0.126875645765982	0.134410494485321	0.287438477390678	0.034576632632413	0.429528726743839	0.00477169084289154	0.709144182871263	0.451674163971934	0.241002892925552	0.315322124662494	0.17920801213322	0.977377363470167	0.216376606595826	0.770842400299128	0.312758987292243	0.383779265866048	0.591202647332748	0.766845401502275	0.195347671745479	0.178514014288856	0.66885351784564	0.219529614324886	0.308477031930739	0.490090063271686	0.670027069236168	0.71761988089557	0.158896650430628	0.379723246962898	NA	0.313841704811325	0.332567025038879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BLCA	0.000253397872727268	0.0522756927793374	0.0023500517548939	0.00268522611574691	0.0909005459600916	0.749956008857676	9.49112500357467e-28	0.813164796937055	0.496695851787904	0.409704399142482	1.47072343083685e-24	0.00436478940369738	0.00322116006795492	0.57275904115076	0.249929193361077	0.00361514983456816	0.112555512223878	0.00846336401567407	0.291982435936395	0.213599934232005	0.624866587054798	0.402839802442774	0.0164051233994814	0.635744757144403	0.551312042227907	0.00295905889105767	0.00148819294496252	0.614164385687114	0.642457895506892	0.482350664479147	0.0133595903288843	1.78764745225331e-05	0.5517299013107	1.90857925814635e-06	3.17586348141545e-12	1.76155137951118e-12	0.96973879257051	0.321651986173729	NA	0.170030340853007	0.674277315061342	NA	NA	NA	NA
BRCA	6.87656252735348e-21	2.47614277261043e-06	0.010796925495979	9.85208021550347e-07	4.7459029459681e-05	9.93773410070601e-06	4.16575615038431e-57	0.438153505808583	0.0488371166963218	6.345354070634e-13	7.44124154356995e-11	0.122533389162272	0.116128247827772	0.0981871643932791	0.35413005994828	2.44066704903928e-06	5.57144643038654e-14	0.185052680982294	4.68046394647261e-11	0.0200349555561715	0.110296410059906	0.521689062017438	0.267591913870992	0.415968894869036	7.3325578845001e-09	1.86859904938461e-07	0.092889093133386	0.00131098664090316	0.00196632948710251	5.46508943725203e-05	4.60230808848448e-07	1.07192514223049e-20	0.535178721495903	6.00694051660945e-29	9.46895012044795e-23	4.41989147110331e-41	0.102511534305371	NA	NA	0.712852238892963	NA	NA	NA	NA	NA
CESC	0.00464392852410653	0.408896743594736	0.421531378542596	0.737506546335056	0.0664838443990278	0.00470574767931645	8.8281682761499e-15	0.278734154092283	0.705537761557664	0.0798848042614181	0.00898857004897813	0.0274131633615706	0.926425698600256	0.787125206507934	0.61925395959019	0.0230150417747134	0.622224394171982	0.170815304174944	0.152970509164271	0.0919722700569388	0.781935142276883	0.000552178782272079	0.325312473399494	0.120269056445032	0.00289607145757455	0.230495359667406	0.100262519840004	0.490647911177332	0.975537027247929	0.82873763749389	0.339968469101466	0.100611775902879	0.283446755609421	1.26776793312312e-05	4.65608174315768e-06	0.00453609987922828	0.175372090584885	0.442220107237078	NA	0.748433943834034	NA	NA	NA	NA	NA
COAD	0.0458800765736135	0.0504899612549884	0.00261364701944319	0.0136339267509073	0.578117759409494	0.132671517271151	5.00558281461088e-24	0.0719569721650742	0.281121586790818	0.9752356748989	1.11048827403444e-33	0.3656858256607	0.730393311438782	0.195395301688822	0.0314106305457144	0.0728347870684993	0.0211978317335179	2.02294527549259e-05	0.00259185743377172	0.466964637106489	0.0635511910557573	0.437612940671465	0.79599115021892	0.0587038598737064	0.026211513531737	0.0432596363008058	0.192016581806143	0.33676552461594	0.215264232502405	0.260289205601861	0.641211828254646	1.87635613844897e-06	0.346276737875821	0.00623463437008326	0.0138975327139437	3.52165386141989e-08	0.646167411247186	0.395621066517517	NA	0.0532119837415009	NA	NA	NA	NA	NA
DLBC	0.750617940635104	0.355789141506634	0.225871962837991	0.792590760806525	0.165308330112625	0.650911141345274	0.702140061956302	0.982569207799358	0.387553833735991	0.361637350072424	0.427198761407454	0.806821434004639	0.291670120769707	0.286580086517159	0.0362574871001415	0.904684679929735	0.743169419510645	0.296625767281224	0.892863691209151	0.352174191059555	0.47230505666802	0.629236871144577	0.253192934710327	0.0635121679236919	0.0864854611510723	0.405535365086153	NA	0.18054543878236	0.927224944641464	0.420374808582613	0.665377143356349	0.170960737154567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GBM	0.558429358217398	0.0609545587599187	0.0194707335927537	0.431305196973571	0.77439626283981	0.0512524688079068	0.452782473106985	0.742822612963047	0.163139329128861	0.951834495553078	0.678304985666274	0.381533266068057	0.70350407229425	0.756495064158146	0.837064858418185	0.853833991306915	0.18412167238613	0.7707317456205	0.379118169063821	0.0442986207403368	0.041759079684357	0.73704165130353	0.555799850056873	0.765842919986537	0.92923795447455	0.0681697331882157	0.979185340045048	0.175348759804628	0.138618957708911	0.375188746517132	0.341563786458993	0.648327111612578	0.654957308529631	0.638672695478319	0.372673913699755	0.941927868338855	0.299626338259	NA	NA	0.170712320122392	NA	NA	NA	NA	NA
HNSC	0.65002554402594	0.00273417027990035	0.00753390915212281	0.0887867628895832	0.681112148487929	0.00793223686105159	4.1071331513874e-25	0.164581541262068	0.071227960212721	4.10321212837527e-15	1.9493835934047e-19	0.00470108501753193	0.00950645325008404	0.490775336903155	0.0115553257588509	0.0950821554970373	0.000194234209619872	0.0233009921527789	0.6057702999797	0.622849000170073	0.534588910987581	0.484181167112696	0.133169968757799	0.0130817185555598	0.257316199727464	0.1139868768137	0.581697492929992	0.208798946486782	0.00500784748547091	0.772204466654575	1.21392469341528e-09	1.22958166923493e-15	0.195965478859002	3.77563119718621e-06	1.62965758650001e-07	1.47432419651526e-11	0.860141661017843	0.535543638911873	0.900844799633695	0.00102576541363423	NA	NA	NA	NA	NA
KICH	0.616189204883279	0.00920719345536181	0.432259112654018	0.281978560903967	0.770400147539757	0.50764198959234	0.199384981556322	0.0654006373272349	0.503613220130298	0.979936074323565	0.755603706312953	0.275264600511534	0.26341377879143	0.260263802988441	0.979373220341759	0.778560551296355	0.509217065728341	0.217448581912434	0.228984534179846	0.948445569972128	0.258139549540775	0.763574592632033	0.11960370304723	0.720681649541413	0.363577249127335	0.642839569964593	0.444801479690843	0.825690805593969	0.713668127031451	0.55899067253457	0.842527144802315	0.222614652385835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KIRC	0.631526746433388	0.0273000283165156	1.74160464900708e-06	0.00627409899773707	0.00430532434850516	2.85978337156881e-08	0.0870551462706827	0.0407720203246818	0.000519586719371826	0.272481959017695	0.505033191830128	0.856836531858581	0.218643883000667	0.856983446364054	0.333234432919348	0.649113709282118	0.53340253873735	0.0369124104465079	0.000564160560122668	0.00139245002844859	0.47676701593192	0.417897114960237	0.606238768898245	0.0657270749504895	0.19416337271848	0.911527166653722	0.285436978625238	0.814047172000065	0.082361808164754	0.661603893358153	0.00918272272299821	0.118491841348651	0.179855080390975	0.12246587777965	0.0486024228829276	0.124770590769572	NA	0.692043365498983	NA	0.584431755655158	NA	NA	NA	NA	NA
KIRP	0.250979236062798	0.00460674231274539	0.00552120017689527	0.35929441750031	0.244533970973434	2.15864284363531e-14	0.0659470631996965	0.0160483061834128	6.89344249183802e-08	0.293925920676496	0.198279356616945	0.180782010442986	0.00642741227041392	0.00370204250851446	0.59161292804317	1.8100027748944e-09	0.505408128754982	0.556655720592406	0.00178076037556435	0.992729306172981	0.796765057434474	0.544080079836032	0.776345848947135	0.852255346445782	0.104744822557626	0.143095560733104	0.0898262322353611	0.00762434337223335	0.145518853265172	0.543441960131654	0.119244690887632	0.0537333285444719	0.56328278752471	0.531637208886139	0.984338296594887	0.141714339955431	0.626574411629908	NA	NA	0.96623389480625	NA	NA	NA	NA	NA
LAML	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LGG	2.61911673515254e-07	0.19313350503279	0.837569563764102	0.753358897591636	0.761474210822085	0.283020316365199	3.33817145509423e-05	0.0630954255955393	0.0576361696778996	0.308561513516798	0.061414166189664	0.274863035611528	0.221229061262849	0.306782458630038	0.906502368041018	0.0694378507398707	0.291711388895826	0.202737484398608	0.759859309886784	0.00341566704562311	0.00027893303146888	0.649901593158899	0.412998962666562	0.586203420026997	1.44362703652028e-05	0.589627457782296	0.713106629667071	0.243288434009961	0.944464194196313	0.00544227809105576	0.119154583054244	0.184646884154055	0.719116478643193	0.0833862346317156	0.0443473590952213	0.02000702756272	NA	0.752423415203814	NA	0.653162457691349	NA	NA	NA	NA	NA
LIHC	2.79831076176236e-05	0.346781925200683	0.394837600846446	0.0618725390049039	0.00942185234248613	0.000295717117294755	1.24331241738387e-22	0.17941443471353	0.475294043197417	0.0438623730645415	3.17877790768447e-05	0.494256658482801	0.00796368515746585	0.112270092181866	0.123912272955805	0.369126307455082	0.000578463926101967	0.418027991420075	1.76967358914065e-06	0.00275579847822837	0.199380598302843	0.427987343760355	0.00292667940440293	0.517441251360556	0.0113707425192813	0.748676756026356	0.0361674327345081	0.0185515360584176	1.52875831403659e-05	0.814495395045024	1.37207403711796e-05	4.48259142523995e-07	0.790816231386448	4.45665316566551e-05	0.000390855064908646	1.62847993112644e-09	0.0429254554175297	0.880102553470802	0.180237762391502	0.32504384205993	NA	NA	NA	NA	NA
LUAD	5.55202115615427e-05	0.0837013986864922	0.0893889432790043	0.115257560553449	0.00768996585690915	0.152088961642044	3.77250336526864e-30	0.0491476284935149	0.020619340262791	3.03598253727899e-08	0.850528476104072	0.0184487869538681	0.0517375570510253	0.512553301993911	0.821777026383639	0.000377529216917812	0.0228480670784295	0.0123898197343581	0.033078908778994	0.0255835006639266	0.0784607720271623	0.767393800664339	0.685884134365147	0.471153880726357	0.525578071592126	0.0811015688913387	0.685128114690539	0.0334754526021058	0.0279524637936074	0.155731338188876	0.000877457401809785	0.000517363736080892	0.489861142965337	4.11510615415664e-09	1.12822693938674e-07	8.8719033438008e-10	0.910609023920816	NA	NA	NA	NA	NA	NA	NA	NA
LUSC	0.00955801330453571	0.612251114494577	0.000111557354609177	0.0442603096650487	0.00748245798695157	0.000427304469248	5.3547491982173e-42	0.000983689872340807	0.00181725178001011	0.000533673478695621	0.0142212534635819	0.000543488984788318	0.473749977376771	0.0412390244524458	0.547007876814431	0.0549554550749026	0.000258009265546453	0.0134317025046348	0.301837677403204	0.861956970550482	0.619676200992225	0.129458736125081	0.437270541967679	0.593610586364504	0.00762712469703937	0.000720579342662135	0.0126651380039057	0.3675754810299	0.520580480058334	0.667152467505265	8.7332266024296e-09	1.9825836980475e-06	0.351894395617188	4.19414640954095e-11	1.05869500172227e-15	5.84905871295498e-20	0.33006664679332	NA	NA	0.767114516921076	NA	NA	NA	NA	NA
OV	0.632678168956792	0.311392348708114	0.0147603080013345	0.62656959311512	0.691554504228715	0.725444000079269	0.00144352152067975	0.0879268321976154	0.526514433645889	0.45624224032816	0.593948147870958	0.180002898916338	0.10364868704154	0.730285510039871	0.808069229666378	0.0579332024078394	0.896154623383341	0.575512413980009	0.00618607779930104	0.932617009654554	0.117531716475791	0.610852040473326	0.586245705766525	0.913738005192303	0.531390392833029	0.544058603988016	0.256619984046152	0.150382367588	0.999766323814462	0.365665610613622	0.650749193293964	0.243413331619591	0.490721996404454	0.140788091068902	0.489381839994601	0.150358978541146	NA	NA	NA	0.991113860615418	NA	NA	NA	0.0122564468165694	NA
PRAD	0.000130214448190381	0.213265443827188	0.0732504993361596	0.0213064571931912	0.336820536398982	0.105131733371242	3.06907480908705e-12	0.697730020500397	0.782460446557727	0.0458986915140589	1.40204246552308e-07	0.369518061836564	0.845059661985729	0.761767582243547	0.322474149036314	0.959233365863531	0.00405187165016433	0.493311326621533	0.0946001720540575	0.101301365495545	0.0985465849226445	0.26748234166514	0.158791963222213	0.767298926602669	0.385857069201817	0.0657518469897287	NA	0.0358120988732167	0.0260048719655908	0.34099107881601	0.0212837308874	0.000524907384524473	0.710832427082986	0.00118360921745529	0.00727364977165141	7.41781373046364e-06	0.409151819796686	NA	NA	0.882495238977979	NA	NA	NA	NA	NA
READ	0.0677094757819663	0.438646649537845	0.801418837937978	0.019552086627628	0.032627762272891	0.41073555609102	3.76902625883123e-06	0.495153674116278	0.60985221504818	0.353530821134226	0.662840513732496	0.139053345731609	0.472106435835308	0.119337268868368	0.650465905586038	0.00410063963105038	0.562434655640749	0.00023047810908327	0.00333249527335916	0.300337024139548	0.253743451971715	0.668623302568706	0.0521179763455976	0.556888408234608	0.274837348822489	0.771901520818517	0.972340736735269	0.958576003148702	0.856685256454631	0.238465880983616	0.659029100493145	0.900720050937368	0.256050928292092	0.019699934200973	0.0435151635230736	0.00058868246363701	0.262680058449176	NA	NA	0.346481272154681	NA	NA	NA	NA	NA
